Título,Nota,URL,Comentário
Alfinete,Ecopontos verde amarelo azul,"https://www.google.com/maps/search/41.1705238,-8.6793484",
Alfinete,,"https://www.google.com/maps/search/41.1711351,-8.6787476",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1713546,-8.6778075",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1707381,-8.6789186",
Alfinete,,"https://www.google.com/maps/search/41.1717021,-8.6757261",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1709112,-8.6781485",
Alfinete,,"https://www.google.com/maps/search/41.1702313,-8.6740618",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1710674,-8.677773",
Alfinete,,"https://www.google.com/maps/search/41.1711787,-8.6741788",
Alfinete,,"https://www.google.com/maps/search/41.170862,-8.6755853",
Alfinete,,"https://www.google.com/maps/search/41.1693709,-8.6768328",
Alfinete,,"https://www.google.com/maps/search/41.168321,-8.6776452",
Alfinete,,"https://www.google.com/maps/search/41.1679898,-8.6780734",
Alfinete,,"https://www.google.com/maps/search/41.1682783,-8.6778786",
Alfinete,,"https://www.google.com/maps/search/41.1681246,-8.6771805",
Alfinete,,"https://www.google.com/maps/search/41.1684568,-8.6772073",
Alfinete,,"https://www.google.com/maps/search/41.1688588,-8.6769951",
Alfinete,,"https://www.google.com/maps/search/41.17025,-8.6764738",
Alfinete,Plastico e metal,"https://www.google.com/maps/search/41.1691082,-8.6759645",
Alfinete,,"https://www.google.com/maps/search/41.1689224,-8.6753814",
Alfinete,,"https://www.google.com/maps/search/41.1693424,-8.6746069",
Alfinete,,"https://www.google.com/maps/search/41.1695377,-8.6741573",
Alfinete,Plastico e metal,"https://www.google.com/maps/search/41.1697762,-8.6734512",
Alfinete,,"https://www.google.com/maps/search/41.1698633,-8.6724984",
Alfinete,,"https://www.google.com/maps/search/41.1692286,-8.6720937",
Alfinete,,"https://www.google.com/maps/search/41.1682935,-8.6722419",
Alfinete,Plastico e metal,"https://www.google.com/maps/search/41.167402,-8.6730308",
Alfinete,,"https://www.google.com/maps/search/41.1663445,-8.6726801",
Alfinete,Plástico e metal,"https://www.google.com/maps/search/41.1658266,-8.6722711",
Alfinete,,"https://www.google.com/maps/search/41.165634,-8.6722855",
Alfinete,,"https://www.google.com/maps/search/41.1656731,-8.6728467",
Alfinete,,"https://www.google.com/maps/search/41.1658185,-8.6731311",
Alfinete,Ecoponto amarelo,"https://www.google.com/maps/search/41.1661284,-8.6729738",
Alfinete,Ecoponto amarelo,"https://www.google.com/maps/search/41.1660638,-8.6737828",
Alfinete,,"https://www.google.com/maps/search/41.1660762,-8.6749355",
Alfinete,,"https://www.google.com/maps/search/41.166262,-8.6758206",
,Caixote,"https://www.google.com/maps/search/41.1685269,-8.6791436",
Alfinete,,"https://www.google.com/maps/search/41.1666345,-8.6764057",
Alfinete,,"https://www.google.com/maps/search/41.1665181,-8.6769676",
Alfinete,,"https://www.google.com/maps/search/41.1667011,-8.6776831",
Alfinete,,"https://www.google.com/maps/search/41.1671178,-8.6780941",
Alfinete,Ecopontos,"https://www.google.com/maps/search/41.1666305,-8.6795643",
Alfinete,,"https://www.google.com/maps/search/41.1696172,-8.6849653",
Alfinete,Caixote ,"https://www.google.com/maps/search/41.170365,-8.6855876",
Alfinete,,"https://www.google.com/maps/search/41.1704895,-8.6865501",
Alfinete,,"https://www.google.com/maps/search/41.1704019,-8.6855319",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1689567,-8.6855326",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1686254,-8.6850598",
Alfinete,,"https://www.google.com/maps/search/41.1704397,-8.6847393",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1680565,-8.6836798",
Alfinete,Plastico e metais,"https://www.google.com/maps/search/41.1705291,-8.6834445",
Alfinete,,"https://www.google.com/maps/search/41.1705304,-8.6834861",
Alfinete,,"https://www.google.com/maps/search/41.1705195,-8.6828923",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1678215,-8.6806057",
Alfinete,,"https://www.google.com/maps/search/41.1709218,-8.6821004",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1669815,-8.6799385",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1675583,-8.6798885",
Alfinete,,"https://www.google.com/maps/search/41.1710127,-8.6803502",
Alfinete,,"https://www.google.com/maps/search/41.1701096,-8.6803499",
Alfinete,Verde,"https://www.google.com/maps/search/41.1697134,-8.6804619",
Alfinete,Caixote,"https://www.google.com/maps/search/41.1692122,-8.6799978",
Alfinete,,"https://www.google.com/maps/search/41.1697725,-8.6801008",
Alfinete,Contentor,"https://www.google.com/maps/search/41.1691667,-8.6798456",
Alfinete,,"https://www.google.com/maps/search/41.1702136,-8.6791245",
Alfinete,,"https://www.google.com/maps/search/41.1702111,-8.6791385",
Alfinete,Contentor,"https://www.google.com/maps/search/41.1689497,-8.6790302",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1698744,-8.6786631",
Alfinete,Papeleira,"https://www.google.com/maps/search/41.1702237,-8.6785112",
